type,model,epoch,train_learning_rate,test_loss,test_acc1,test_acc5
imagenette,synthetic-200,0,0.1,3.3938663005828857,19.82165605095541,69.35031847133757
imagenette,mix-200,0,0.1,2.713809967041016,18.038216560509557,70.5732484076433
imagenette,mbn2-base-200,0,0.1,3.0261779292937248,24.203821656050955,66.59872611464968
imagenette,mbn2-synthetic-200,0,0.1,2.445955091907132,32.17834394904459,82.47133757961784
imagenette,mbn2-mix-200,0,0.1,1.7993306806010585,41.98726114649681,87.13375796178345
imagenette,mix-200-clean,0,0.1,2.1776318550109863,17.273885350318473,60.30573248407644
imagenette,base-200,0,0.1,26.74398803710937,10.21656050955414,50.853503184713375
imagenette,mbn2-mix-clean-200,0,0.1,1.645479756016885,46.19108280254777,88.71337579617834
imagenette,synthetic-200,1,0.1,2.047870397567749,27.59235668789809,76.89171974522293
imagenette,mix-200,1,0.1,1.7880572080612185,42.77707006369427,83.79617834394904
imagenette,mbn2-base-200,1,0.1,1.6944573925387474,45.63057324840764,87.84713375796179
imagenette,mbn2-synthetic-200,1,0.1,1.69784668953188,47.21019108280255,88.10191082802548
imagenette,mbn2-mix-200,1,0.1,1.4836370406612274,52.66242038216561,89.88535031847134
imagenette,mix-200-clean,1,0.1,2.0418734550476074,30.08917197452229,77.85987261146497
imagenette,base-200,1,0.1,2.150069236755371,23.337579617834397,69.75796178343948
imagenette,mbn2-mix-clean-200,1,0.1,1.3869339727586316,54.19108280254777,92.61146496815287
imagenette,synthetic-200,2,0.1,1.963049292564392,32.0,77.85987261146497
imagenette,mix-200,2,0.1,1.7766015529632568,48.22929936305732,88.78980891719745
imagenette,mbn2-base-200,2,0.1,1.3974109772712953,53.98726114649681,91.79617834394904
imagenette,mbn2-synthetic-200,2,0.1,1.6653523598947833,46.57324840764331,88.45859872611464
imagenette,mbn2-mix-200,2,0.1,1.2206404901319934,60.71337579617835,93.98726114649682
imagenette,mix-200-clean,2,0.1,1.6084342002868652,44.76433121019108,89.98726114649682
imagenette,base-200,2,0.1,2.038392305374145,26.445859872611464,75.94904458598727
imagenette,mbn2-mix-clean-200,2,0.1,1.1506154460291709,63.00636942675159,93.73248407643312
imagenette,synthetic-200,3,0.1,2.1068153381347656,33.65605095541401,80.38216560509554
imagenette,mix-200,3,0.1,1.3471225500106812,55.82165605095541,91.6687898089172
imagenette,mbn2-base-200,3,0.1,1.778246110485446,46.64968152866242,90.21656050955414
imagenette,mbn2-synthetic-200,3,0.1,2.3506326983051915,36.89171974522293,81.75796178343948
imagenette,mbn2-mix-200,3,0.1,1.2177213853405369,62.47133757961783,94.77707006369428
imagenette,mix-200-clean,3,0.1,1.9670720100402832,43.745222929936304,87.79617834394904
imagenette,base-200,3,0.1,1.8731530904769895,34.72611464968153,80.50955414012739
imagenette,mbn2-mix-clean-200,3,0.1,1.419283220844884,58.67515923566879,89.78343949044586
imagenette,synthetic-200,4,0.1,3.453536033630371,27.363057324840764,75.00636942675159
imagenette,mix-200,4,0.1,2.2978508472442627,42.44585987261146,83.38853503184713
imagenette,mbn2-base-200,4,0.1,1.261982948549332,57.859872611464965,93.85987261146497
imagenette,mbn2-synthetic-200,4,0.1,2.038018995715726,45.04458598726114,86.98089171974522
imagenette,mbn2-mix-200,4,0.1,1.1039586221018145,67.43949044585987,95.10828025477709
imagenette,mix-200-clean,4,0.1,1.4359122514724731,55.54140127388535,92.56050955414013
